1,0,0
1,76.446,170.39
2,76.128,149.02
3,70.774,129.09
4,66.788,113.99
5,71.731,105.9
6,77.859,109.23
7,77.836,110.23
8,75.991,108.68
9,78.383,110.98
10,73.85,107.13
11,70.592,103.03
12,71.572,102.85
13,72.711,101.23
14,70.797,100.46
15,70.387,98.679
16,69.408,97.927
17,69.636,94.829
18,70.501,94.1
19,70.342,92.437
20,69.157,88.838
21,73.052,90.661
22,75.421,90.524
23,73.872,92.05
24,77.084,89.886
25,75.308,87.107
26,73.075,82.437
27,78.36,82.301
28,75.763,80.273
29,84.214,78.428
30,82.756,81.002
31,79.066,77.585
32,74.396,44.738
33,72.05,44.123
34,71.936,47.722
35,69.613,50.774
36,65.33,49.954
37,67.153,52.597
38,62.642,50.251
39,60.456,54.67
40,59.522,52.938
41,58.405,52.255
42,54.533,52.688
43,50.228,57.699
44,47.699,58.588
45,44.465,60.296
46,45.672,64.556
47,48.884,68.246
48,45.194,68.975
49,52.141,73.804
50,51.276,76.743
2,0,0
1,114.58,419.64
2,111.05,406.7
3,111.09,389.54
4,111.78,386.38
5,112.67,383.21
6,110.23,388.52
7,111.96,389.61
8,113.03,390.36
9,113.51,391.21
10,113.8,393.76
11,115.42,398.75
12,115.81,402.23
13,116.61,408.56
14,115.22,405.92
15,117.95,408.06
16,115.6,409.38
17,116.81,407.79
18,124.01,412.67
19,122.1,413.08
20,124.94,414.78
21,127.95,415.6
22,129.41,419.38
23,130.46,419.54
24,132.62,417.79
25,134.33,419.34
26,138.5,422.35
27,142.98,424.01
28,144.85,425.26
29,146.65,424.03
30,149.66,424.24
31,151.53,428.61
32,153.67,433.53
33,156.49,433.71
34,161.25,437.06
35,162.41,440.32
36,163.94,441.32
37,171.5,444.83
38,170.09,445.03
39,176.58,442.53
40,182.23,442.03
41,183.35,438.56
42,187.08,437.86
43,189.13,437.11
44,192.37,436.17
45,197.29,429.48
46,201.48,429.75
47,202.44,427.79
48,205.54,428.11
49,209.57,428.88
50,210.14,426.67
51,214.99,429.79
52,219,430.18
53,223.17,429.54
